id_ligne	id_train	latitude	longitude	ligne
127	1	49.04554626659486	2.109539658597023	H
128	1	49.04552209833526	2.109099345927296	H
129	1	49.04546705082187	2.108193440028024	H
130	1	49.04539401902255	2.107233059674135	H
131	1	49.132577701471654	2.280515369819846	H
132	1	49.13454061935222	2.27565936485099	H
133	1	49.13493268574389	2.274687083291566	H
134	1	49.135160796803525	2.27412837303634	H
135	1	49.135353281682534	2.273689365759236	H
136	1	49.135526780905764	2.273341035287543	H
137	1	49.135740710540766	2.272963638695093	H
138	1	49.13598796127094	2.272607952052375	H
139	1	49.13622096697999	2.272306675190137	H
140	1	49.13649917537708	2.272001708776877	H
141	1	49.1368249647291	2.271685798336763	H
142	1	49.13859185028871	2.270029841963733	H
143	1	49.140287371203286	2.268439142618548	H
144	1	49.140625076101884	2.268173937332809	H
